Kristiine,Kristiinesse,Kristiines,Kristiinest,Endla 45,10615,Tallinn,Eesti
T1, T1-te, T1-s, T1-st, Peterburi tee 2, 11415, Tallinn, Eesti
Lõunakeskus, Lõunakeskusesse, Lõunakeskuses, Lõunakeskusest, Ringtee 75, 50501, Tartu, Eesti
Põhjakeskus, Põhjakeskusesse, Põhjakeskuses, Põhjakeskusest, Haljala tee 4, 44415, Rakvere, Eesti
Fama keskus, Fama keskusesse, Fama keskuses, Fama keskusest, Fama 10, 20303, Narva, Eesti
Kaubamajakas
Tartu Kaubamaja, Tartu Kaubamajja, Tartu Kaubamajas, Tartu Kaubamajast, Riia 1, 51013, Tartu, Eesti
